Ticker,Report Date,Fiscal Year,Fiscal Period,Adj. Open,Adj. Close,PeriodReturn,Altman Z-Score,Piotroski F-Score,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Debt Ratio,Earnings Per Share (Diluted),Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Return On Invested Capital,Cash Return On Invested Capital,Dividend Payout Ratio,Net Debt / EBITDA,Net Debt / EBIT
VMC,2022-03-31,2022,Q1,185.6,180.25,-0.2246,1.55,4,0.17447,0.09379,0.05971,0.01394,0.00664,0.16527,1.86244,0.33311,0.68862,11.60166,49.5128,0.1145,0.01111,0.00116,0.57826,15.74085,31.10042
VMC,2022-06-30,2022,Q2,141.72,139.77,0.1123,1.73,4,0.22832,0.15637,0.09584,0.02777,0.01321,0.10538,1.84543,0.33106,1.40827,14.69398,50.53459,0.1484,0.01804,0.00148,0.2835,10.19667,14.96802
VMC,2022-09-30,2022,Q3,158.22,155.47,0.0929,1.73,5,0.23603,0.16731,0.08481,0.02575,0.01212,1.48216,1.71259,0.32393,1.3256,15.7015,51.54662,1.97361,0.01698,0.01935,0.3004,10.05947,13.19995
VMC,2023-03-31,2023,Q1,171.27,169.91,0.3169,1.7,7,0.18314,0.11249,0.07344,0.01727,0.0086,0.22874,2.36821,0.31475,0.90576,12.37988,52.4542,0.20796,0.01339,0.00208,0.47234,12.8514,23.13251
VMC,2023-06-30,2023,Q2,225.29,223.76,,2.01,6,0.27607,0.20559,0.14606,0.0427,0.02153,0.40514,2.5762,0.30813,2.30643,15.86261,54.07357,0.93864,0.02701,0.00923,0.18535,7.21299,9.78502
VRSK,2009-12-31,2009,Q4,30.86,29.22,-0.0688,1.16,,0.42137,0.15901,-0.02431,0.18441,-0.00646,-8.7557,0.75045,0.59598,-0.03538,1.51702,-0.19997,0.32289,-0.0085,0.07447,,8.64426,12.26924
VRSK,2010-03-31,2010,Q1,27.93,27.21,0.0603,2.18,,0.58359,0.38534,0.20052,1.96004,0.051,2.34084,0.97145,0.48983,0.29229,1.53373,0.15691,0.71992,0.07288,0.1706,,3.19669,3.71437
VRSK,2010-06-30,2010,Q2,29.59,28.85,-0.0634,2.22,,0.59173,0.38013,0.20734,1.42814,0.05545,0.47488,0.88221,0.50386,0.30813,1.56061,0.29683,0.15366,0.07504,0.03564,,3.37482,3.9095
VRSK,2010-09-30,2010,Q3,27.84,27.02,0.2169,2.31,,0.59282,0.39385,0.21882,1.0854,0.05992,0.9888,0.7272,0.50524,0.33592,1.60814,0.34778,0.34796,0.08069,0.07978,,3.22604,3.68762
VRSK,2010-12-31,2010,Q4,34.25,32.88,-0.0386,1.66,7,0.60269,0.38787,0.22477,-0.57575,0.05414,1.18045,0.33353,0.6898,0.36731,1.70737,-0.66747,0.45301,0.07055,0.08329,,5.92588,6.8502
